SWE;WS10
24;2.26E+00
230;2.69E+00
69;3.30E+00
69;2.77E+00
70;1.71E+00
63;1.51E+00
35;2.68E+00
101;3.38E+00
176;3.19E+00
92;1.68E+00
21;3.24E+00
17;3.25E+00
42;2.62E+00
17;3.21E+00
38;1.66E+00
34;2.88E+00
30;3.24E+00
49;1.10E+00
71;3.67E+00
60;2.61E+00
123;2.85E+00
48;6.65E+00
50;3.94E+00
28;1.66E+00
56;1.27E+00
72;3.83E+00
13;1.68E+00
32;3.25E+00
3;9.00E-01
35;1.14E+00
28;1.87E+00
11;2.30E+00
55;2.22E+00
19;1.88E+00
135;2.19E+00
48;1.67E+00
15;2.18E+00
41;2.33E+00
87;2.67E+00
18;1.14E+00
24;2.89E+00
58;1.87E+00
67;3.00E+00
57;6.51E+00
98;1.91E+00
16;1.76E+00
29;1.10E+00
24;2.07E+00
61;1.39E+00
60;2.66E+00
