WI-JK;;WI-AK;;CS-SK;;CS-ET;
c;fi;c;fi;c;fi;c;fi
40;26.57;165;11.86;1004;56.49;750;48.74
44;23.27;127;14.04;1212;52.64;650;49.96
55;24.7;253;13.5;92;57.17;600;46.67
67;21.8;427;10.2;774;55.22;1350;60.95
53;21.8;106;11.31;802;61.74;600;55.95
60;24.23;242;12.95;1032;59.97;850;55.95
100;24.23;209;12.41;740;64.22;450;57.17
35;27.47;328;13.5;1058;55.41;1700;43.23
15;27.02;98;12.95;1020;53.87;1770;34.22
70;26.57;10;15.64;2000;47.73;1800;37.95
43;27.02;213;16.17;1040;51.78;960;55.22
21;28.81;365;17.22;878;54.46;130;52.43
33;21.31;324;20.81;1026;57.17;380;37.23
52;21.8;85;20.81;1410;48.99;1230;45
70;19.29;18;25.64;1502;49.48;1040;41.35
40;18.78;15;22.29;1448;45.85;1480;30.11
;;78;24.7;1041;50.66;1440;41.02
;;12;26.1;1837;45.57;770;48.24
;;34;22.78;1178;51.78;1320;30.54
;;70;19.8;754;59.09;2100;27.02
;;20;17.74;1014;61.08;1960;32.21
;;20;20.81;1274;55.95;960;38.66
;;217;20.3;1122;57.67;1080;41.02
;;221;20.3;1352;61.99;340;45.29
;;254;27.47;1976;60.67;1000;38.66
;;;;;;1280;36.13
;;;;;;740;34.99
;;;;;;790;46.67
;;;;;;700;38.66
;;;;;;126;38.31
;;;;;;760;33.82
;;;;;;720;47.73
;;;;;;1500;30.96
;;;;;;420;45.57
;;;;;;850;33.02
;;;;;;600;27.47
;;;;;;100;40.36
;;;;;;1750;20.81
;;;;;;1600;39.01
;;;;;;1650;20.81
;;;;;;650;30.96
;;;;;;2600;32.21
